percepcion,ticks,detecciones/tick,clusters/tick,validados/tick,usados/tick,% clusters validados
radar crudo,121210,42.8,16.25,0.46,6.98,2.8
radar validado,62772,55.8,14.46,1.05,0.75,7.3
