run_id,timestamp,episode,agent_id,reward,avg_reward,actor_loss,critic_loss,goals,collisions,offroad,timeouts,mean_velocity,route_completion,n_npcs,n_walkers,curriculum_prob,rollout_steps
train_20260903_214359,2026-09-03T21:46:11,0,agent_0,-1261.9309029815172,-4095.996987193387,-0.0075863939709961414,4635.5985656738285,0,3,2,0,2.2349737608253135,0.3600097770023182,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:46:11,0,agent_1,-6930.063071405258,-4095.996987193387,-0.007875785324722528,4635.5985656738285,0,4,5,0,4.317034271712753,0.14119585422841274,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:47:34,1,agent_0,-8344.179083342358,-4782.19276593202,-0.005951578915119171,4423.674780273437,0,0,4,0,1.2881719992241292,0.07741068364483561,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:47:34,1,agent_1,-1220.2064485216813,-4782.19276593202,-0.006689144764095545,4423.674780273437,0,12,2,0,3.5859596740500717,0.10584174728016227,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:48:54,2,agent_0,-10061.793019042356,-10796.544141805738,-0.006262773927301168,9057.21025390625,0,0,4,0,2.098905258862049,0.13746152771756126,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:48:54,2,agent_1,-11531.295264569118,-10796.544141805738,-0.005166260618716478,9057.21025390625,0,11,0,0,3.2122575130302917,0.037408521975909936,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:50:32,3,agent_0,-3506.516685394303,-2856.050047904224,-0.00636876504868269,864.3107803344726,0,1,1,0,0.9323732538891696,0.09076159670659856,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:50:32,3,agent_1,-2205.5834104141445,-2856.050047904224,-0.006130991969257593,864.3107803344726,0,10,0,0,2.3292712758577756,0.06941933805444622,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:51:52,4,agent_0,-4008.196412587676,-3247.379545857823,-0.007043911423534155,2442.9746856689453,0,0,2,0,1.7708899464466341,0.11261432402979354,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:51:52,4,agent_1,-2486.5626791279697,-3247.379545857823,-0.004995298478752375,2442.9746856689453,0,7,1,0,3.6304326884624984,0.3259034481277443,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:53:10,5,agent_0,-5344.60588879549,-5114.27863057807,-0.006571353599429131,2272.0048553466795,0,3,1,0,1.5937448738401079,0.20496745669006555,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:53:10,5,agent_1,-4883.9513723606515,-5114.27863057807,-0.0052204539999365805,2272.0048553466795,0,3,4,0,3.326548850493052,0.12145928523655503,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:54:43,6,agent_0,-4937.179318710949,-5679.143091398131,-0.005417421087622642,2738.3618103027343,0,3,1,0,1.668695422326367,0.15845172406808206,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:54:43,6,agent_1,-6421.106864085315,-5679.143091398131,-0.006077421084046364,2738.3618103027343,0,2,6,0,2.5742304328687258,0.08214325395766564,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:56:00,7,agent_0,-15811.29709198206,-9617.081373688181,-0.005625217407941818,3489.2719543457033,0,4,3,0,2.9158730686616265,0.15824121133772895,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:56:00,7,agent_1,-3422.865655394303,-9617.081373688181,-0.006635669525712729,3489.2719543457033,0,7,2,0,2.7082530185749376,0.09683490574750109,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:57:15,8,agent_0,-4893.715173892685,-4204.888227387999,-0.005163425859063864,2284.5089935302735,0,3,4,0,2.754370070680487,0.062167818112871975,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:57:15,8,agent_1,-3516.061280883312,-4204.888227387999,-0.005050442833453417,2284.5089935302735,0,5,1,0,3.3828533848330085,0.56313398053946,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:58:51,9,agent_0,-3716.0166414439295,-4530.188193238224,-0.005518456175923348,3007.165899658203,0,7,1,0,3.295387245310696,0.6055366282306511,20,20,0.7,2048
train_20260903_214359,2026-09-03T21:58:51,9,agent_1,-5344.359745032518,-4530.188193238224,-0.005675649177283049,3007.165899658203,0,4,6,0,3.1318528886657417,0.061120334339153315,20,20,0.7,2048
train_20260903_214359,2026-09-03T22:00:50,10,agent_0,-2179.9302225855604,-4391.625642776946,-0.005734715145081282,974.9975875854492,0,5,0,0,2.0622851645975517,0.25239198570299615,20,20,0.7,2048
train_20260903_214359,2026-09-03T22:00:50,10,agent_1,-6603.321062968332,-4391.625642776946,-0.005640912894159555,974.9975875854492,0,21,0,0,3.028371324798311,0.03630920821488037,20,20,0.7,2048
train_20260903_214359,2026-09-03T22:02:08,11,agent_0,-8033.684577616819,-3437.3264036657188,-0.0054420149885118,2342.8619140625,0,0,7,0,1.8861219133389884,0.04687757001752557,20,20,0.7,2048
train_20260903_214359,2026-09-03T22:02:08,11,agent_1,1159.031770285382,-3437.3264036657188,-0.00528327589854598,2342.8619140625,0,6,0,0,4.191904329383546,0.5131480297267839,20,20,0.7,2048
train_20260903_214359,2026-09-03T22:03:44,12,agent_0,-14343.545089012296,-9920.629251625964,-0.008434843085706235,4082.558282470703,0,1,7,0,1.7756871238245466,0.0516748374459447,20,20,0.7,2048
train_20260903_214359,2026-09-03T22:03:44,12,agent_1,-5497.713414239631,-9920.629251625964,-0.0064786307513713835,4082.558282470703,0,3,6,0,4.049060753845521,0.18834375773643097,20,20,0.7,2048
train_20260903_214359,2026-09-03T22:05:07,13,agent_0,-2809.5446621474075,-5323.328833376414,-0.005520287808030844,2486.345458984375,0,2,0,0,1.5378611151241357,0.30561463716021053,20,20,0.7,2048
train_20260903_214359,2026-09-03T22:05:07,13,agent_1,-7837.113004605421,-5323.328833376414,-0.004970893915742636,2486.345458984375,0,0,7,0,4.935724338314938,0.1523769376809263,20,20,0.7,2048
train_20260903_214359,2026-09-03T22:06:28,14,agent_0,-12150.537169211835,-7471.526683504069,-0.005740607064217329,3195.4439331054687,0,0,2,0,0.8879871251909506,0.10072713547579848,20,20,0.7,2048
